title,revenue,budget,roi,main_genre,release_year,runtime,vote_average
Restless,2518012,8000000,-0.6852485,Drama,2011,91,6.478
College Road Trip,51549674,25000000,1.06198696,Comedy,2008,83,5.547
The Big Hit,27007143,13000000,1.0774725384615385,Action,1998,91,5.843
No Escape,15340000,20000000,-0.233,Action,1994,118,6.257
French Connection II,12484444,4300000,1.9033590697674418,Action,1975,119,6.784
The Red Violin,9495408,18000000,-0.47247733333333336,Drama,1998,131,7.402
So I Married an Axe Murderer,11585483,20000000,-0.42072585,Comedy,1993,93,6.061
Ring 2,31365000,6000000,4.2275,Horror,1999,95,5.735
Help! I'm a Fish,5595327,18000000,-0.6891485,Adventure,2000,80,6.617
Mr. Holland's Opus,106269971,31000000,2.428063580645161,Drama,1995,137,6.972
Stardust Memories,10389003,10000000,0.0389003,Comedy,1980,89,6.972
Critters 2,3813293,4500000,-0.15260155555555555,Comedy,1988,86,5.957
Little Buddha,4858139,35000000,-0.8611960285714285,Drama,1993,140,6.241
My Brother Is an Only Child,6463286,5000000,0.2926572,Comedy,2007,108,6.759
Down to Earth,71186502,30000000,1.3728834,Fantasy,2001,87,5.493
Highlander: Endgame,15843608,25000000,-0.36625568,Action,2000,87,4.824
F/X,20603715,10000000,1.0603715,Action,1986,109,6.425
The Deep End of the Ocean,28121100,38000000,-0.25997105263157894,Drama,1999,106,6.427
My Darling Clementine,2750000,2000000,0.375,Western,1946,97,7.425
Klute,12512637,2500000,4.0050548,Thriller,1971,114,6.766
The Cat o' Nine Tails,1204739,1000000,0.204739,Horror,1971,112,6.7
"Tad, the Lost Explorer, and the Secret of King Midas",34156960,10778400,2.1690195205225264,Animation,2017,85,6.693
Steamboy,18900000,26000000,-0.27307692307692305,Animation,2004,126,6.876
Nighthawks,19905359,5000000,2.9810718,Action,1981,99,6.4
The Wolf and the Lion,15300000,11900000,0.2857142857142857,Family,2021,99,7.499
Silent House,13101672,2000000,5.550836,Horror,2011,85,5.411
King Solomon's Mines,15057465,12500000,0.2045972,Action,1985,100,5.499
The Hard Way,65595485,24000000,1.7331452083333334,Action,1991,111,6.173
The Little Vampire,27965865,35000000,-0.20097528571428572,Family,2000,95,6.777
Detroit Rock City,4217115,6500000,-0.3512130769230769,Comedy,1999,95,6.687
The Nun II,231200000,38500000,5.005194805194805,Horror,2023,110,6.545
When the Bough Breaks,30658387,10000000,2.0658387,Mystery,2016,97,5.856
Midnight in the Switchgrass,229811,15000000,-0.9846792666666667,Crime,2021,99,6.005
Freddy Got Fingered,14343028,14000000,0.024502,Comedy,2001,87,4.6
Boys and Girls,20627372,16000000,0.28921075,Comedy,2000,94,5.96
I Don't Know How She Does It,31410151,24000000,0.3087562916666667,Romance,2011,89,5.212
Project Gemini,211674,6000000,-0.964721,Science Fiction,2022,98,5.854
Funny Girl,52223306,14000000,2.7302361428571427,Comedy,1968,155,7.207
The Vault,5728,5000000,-0.9988544,Horror,2017,91,4.831
Harley Davidson and the Marlboro Man,7434726,23000000,-0.6767510434782609,Action,1991,98,6.312
Body Snatchers,428868,13000000,-0.9670101538461539,Horror,1993,87,6.169
La Cage aux Folles,20424259,1100000,17.56750818181818,Comedy,1978,92,6.872
Ne Zha,742500000,20000000,36.125,Animation,2019,110,7.906
Dragon Wars: D-War,75108998,32000000,1.3471561875,Fantasy,2007,90,4.402
Jem and the Holograms,2333684,5000000,-0.5332632,Fantasy,2015,119,5.533
Friday After Next,33526835,20000000,0.67634175,Comedy,2002,85,6.244
Quo Vadis,21037000,7623000,1.7596746687655778,Drama,1951,171,7.078
The Cotton Club,25928721,58000000,-0.5529530862068965,Crime,1984,127,6.5
Tini: The New Life of Violetta,17000172,19201483,-0.11464275962434776,Comedy,2016,95,7.319
Certified Copy,7736632,7000000,0.10523314285714286,Drama,2010,106,6.971
Juice,20146880,5000000,3.029376,Crime,1992,96,7.254
Death Wish 3,16116878,9000000,0.7907642222222222,Action,1985,92,6.229
Loft,9168516,4185000,1.190804301075269,Drama,2008,118,6.874
Zabriskie Point,1000000,7000000,-0.8571428571428571,Drama,1970,113,7.1
Infernal Affairs II,3208262,125000,24.666096,Action,2003,119,7.239
Pat Garrett & Billy the Kid,11000000,4638783,1.3713116134123973,Western,1973,116,7.171
Detective Dee and the Mystery of the Phantom Flame,51723285,13000000,2.978714230769231,Action,2010,123,6.566
Irma la Douce,25200000,5000000,4.04,Comedy,1963,147,7.451
Bounce,36779296,35000000,0.05083702857142857,Drama,2000,106,5.737
Acrimony,34764055,20000000,0.73820275,Thriller,2018,120,6.758
The Wandering Earth II,604380922,73801827,7.189240653893298,Science Fiction,2023,173,7.238
Year of the Dragon,18707466,24000000,-0.22052225,Action,1985,134,6.848
Choke,3982459,3000000,0.3274863333333333,Comedy,2008,92,6.111
Orca,14717854,17500000,-0.15897977142857142,Adventure,1977,95,6.138
Stakeout,65700000,14500000,3.5310344827586206,Action,1987,116,6.4
Someone Like You...,38689940,23000000,0.6821713043478261,Comedy,2001,97,5.941
A Sound of Thunder,11665465,80000000,-0.8541816875,Thriller,2005,101,4.774
Wolf Totem,123205624,38000000,2.242253263157895,Adventure,2015,116,6.511
Would I Lie to You? 2,42700000,12560000,2.3996815286624202,Comedy,2001,105,6.17
Broadcast News,67330500,20000000,2.366525,Comedy,1987,133,6.733
The Mermaid,553810228,60720000,8.120721805006587,Comedy,2016,93,6.497
Magic Mike's Last Dance,52000000,45000000,0.15555555555555556,Comedy,2023,112,6.8
The Rage: Carrie 2,17762705,21000000,-0.15415690476190477,Horror,1999,104,5.649
House of the Dead,13818181,12000000,0.15151508333333333,Horror,2003,90,3.152
The Beastmaster,14056528,8000000,0.757066,Fantasy,1982,118,6.32
The Hidden,9747988,5000000,0.9495976,Horror,1987,96,6.9
The Sweet Hereafter,7951247,5000000,0.5902494,Drama,1997,112,6.905
Ruthless People,71600000,11000000,5.509090909090909,Comedy,1986,93,6.606
Pushing Tin,8408835,33000000,-0.7451868181818182,Comedy,1999,124,5.849
The Other Woman,1451343,30000000,-0.9516219,Drama,2010,98,6.169
Picture Perfect,44332015,19000000,1.3332639473684211,Romance,1997,105,5.689
Drop Zone,28735315,45000000,-0.3614374444444444,Action,1994,101,5.625
Darkness,33988736,10600000,2.206484528301887,Horror,2002,102,5.647
The Dark Half,10611160,15000000,-0.2925893333333333,Mystery,1993,122,5.996
Muppet Treasure Island,34327391,31000000,0.1073351935483871,Action,1996,100,6.634
Infinitely Polar Bear,1430655,6700000,-0.7864694029850746,Drama,2014,87,6.637
Legends of Oz: Dorothy's Return,18662027,70000000,-0.7333996142857143,Animation,2014,88,6.339
Heaven Can Wait,98800000,15000000,5.586666666666667,Fantasy,1978,101,6.6
Calendar Girls,96542059,10000000,8.6542059,Drama,2003,108,6.576
My Little Pony: The Movie,61294644,6000000,9.215774,Family,2017,99,7.2
Death to Smoochy,8382938,55000000,-0.8475829454545455,Comedy,2002,109,5.92
Love in the Time of Cholera,4607608,45000000,-0.8976087111111111,Drama,2007,139,6.606
Monos,1929915,1800000,0.072175,Drama,2019,103,6.66
Life of Crime,265452,12000000,-0.977879,Comedy,2013,94,5.734
Blackway,16458,8000000,-0.99794275,Thriller,2015,90,5.258
Mildred Pierce,5638000,1453000,2.8802477632484513,Crime,1945,111,7.597
How Green Was My Valley,6000000,1250000,3.8,Drama,1941,118,7.229
Whale Rider,41400000,8000000,4.175,Drama,2003,101,7.132
Moby Dick,10400000,4500000,1.3111111111111111,Adventure,1956,116,6.966
Beyond the Lights,14618727,7000000,1.0883895714285714,Romance,2014,116,6.909
Ghajini,76000000,9100000,7.351648351648351,Action,2008,186,6.989
Mr. Magoo,75000000,30000000,1.5,Comedy,1997,84,4.418
The Boys from Brazil,19000000,12000000,0.5833333333333334,Drama,1978,125,6.708
To Steal from a Thief,9074836,6700000,0.35445313432835823,Crime,2016,96,6.227
Another Year,18124262,8000000,1.26553275,Drama,2010,129,6.984
Nashville,9991258,2200000,3.541480909090909,Drama,1975,160,7.3
Grumpier Old Men,71500000,25000000,1.86,Romance,1995,101,6.476
Maria Full of Grace,12450821,3000000,3.1502736666666666,Drama,2004,101,7.223
The Glimmer Man,20350000,45000000,-0.5477777777777778,Action,1996,92,5.441
The Brand New Adventures of Aladin,25498160,18900000,0.3491089947089947,Comedy,2018,98,4.828
French Women,12058187,5000000,1.4116374,Comedy,2014,116,5.749
The Wolf of Snow Hollow,239828,2000000,-0.880086,Horror,2020,84,6.162
My Way,16653488,25500000,-0.34692203921568626,Drama,2011,137,7.868
Bugsy,49114016,30000000,0.6371338666666667,Crime,1991,134,6.376
Mara,661769,5000000,-0.8676462,Crime,2018,100,5.658
The King and I,21300000,4550000,3.681318681318681,Drama,1956,133,7.097
Don't Stop Me Now,5000000,8000000,-0.375,Comedy,2019,102,6.4
Jakob the Liar,4956701,45000000,-0.8898510888888889,Comedy,1999,120,6.682
The Bronze,615816,3500000,-0.8240525714285715,Drama,2016,108,6.058
Kuch Kuch Hota Hai,15306000,153000,99.03921568627452,Romance,1998,185,7.551
Internal Affairs,27734391,15000000,0.8489594,Crime,1990,115,6.259
Fame,77211836,18000000,3.2895464444444444,Music,2009,107,5.692
Warlock,9094451,7000000,0.29920728571428573,Horror,1989,103,6.281
You Can't Take It with You,7433101,1644736,3.5193277218957935,Comedy,1938,130,7.462
The House by the Cemetery,1845819,786801,1.3459794789279627,Horror,1981,87,6.2
Twin Dragons,8332431,10000000,-0.1667569,Comedy,1992,104,6.758
Columbus,1015744,700000,0.45106285714285715,Drama,2017,105,7.037
The Death and Life of Bobby Z,413454,22000000,-0.9812066363636364,Drama,2007,97,6.2
I Know Who Killed Me,9620399,12000000,-0.19830008333333332,Thriller,2007,105,4.524
The Shipping News,24690441,38000000,-0.3502515526315789,Drama,2001,111,6.3
Dead Men Don't Wear Plaid,18196170,9000000,1.0217966666666667,Comedy,1982,89,6.624
The Barbarian Invasions,3432342,8000000,-0.57095725,Comedy,2003,99,7.058
Holy Camp!,2963886,3144622,-0.05747463447117014,Comedy,2017,109,6.832
Topaz,6000000,4000000,0.5,Drama,1969,127,6.0
Private Benjamin,69800000,15000000,3.6533333333333333,Comedy,1980,110,5.956
Airport,100489151,10000000,9.0489151,Action,1970,137,6.379
Drive Me Crazy,22593409,8000000,1.824176125,Romance,1999,91,6.6
Heavyweights,17689177,10000000,0.7689177,Family,1995,100,6.111
Ninotchka,2279000,1365000,0.6695970695970695,Comedy,1939,110,7.51
Bodyguards and Assassins,6604537,23000000,-0.7128462173913044,Drama,2009,139,6.8
Brokedown Palace,10115013,25000000,-0.59539948,Drama,1999,100,6.382
Hustle & Flow,23563727,8000000,1.945465875,Crime,2005,116,7.1
Things to Do in Denver When You're Dead,529766,8000000,-0.93377925,Drama,1995,116,6.496
Quartet,59520298,11000000,4.410936181818182,Drama,2012,98,6.472
Days of Glory,22963701,14500000,0.5837035172413793,Drama,2006,128,6.677
She-Devil,15400000,20000000,-0.23,Comedy,1989,99,5.822
Sommersby,140081992,30000000,3.6693997333333335,Drama,1993,109,6.315
Vampire's Kiss,725131,2000000,-0.6374345,Comedy,1988,103,5.963
Devil in a Blue Dress,16140822,27000000,-0.40219177777777776,Thriller,1995,102,6.342
On Chesil Beach,3335913,745971,3.471907084859867,Drama,2018,110,6.13
The Juror,22754725,44000000,-0.4828471590909091,Thriller,1996,118,5.53
Niagara,8500000,1250000,5.8,Thriller,1953,92,6.748
Bordello of Blood,5600000,15000000,-0.6266666666666667,Horror,1996,87,5.943
Club Dread,5001655,8500000,-0.41157,Comedy,2004,104,5.178
A Place in the Sun,7000000,2300000,2.0434782608695654,Drama,1951,122,7.339
Undercover Brother,41604473,25000000,0.66417892,Action,2002,86,5.842
The Adventures of Rocky & Bullwinkle,35134820,76000000,-0.5376997368421053,Family,2000,88,4.072
Supernova,14828081,90000000,-0.8352435444444445,Science Fiction,2000,91,4.931
Grandma,7205073,600000,11.008455,Comedy,2015,78,6.463
Tales from the Darkside: The Movie,16324573,3500000,3.6641637142857144,Thriller,1990,93,6.201
Psycho III,14481606,8400000,0.7240007142857143,Horror,1986,93,5.557
Rise,11196824,7780000,0.4391804627249357,Comedy,2022,117,7.53
Earth Girls Are Easy,3916303,10000000,-0.6083697,Comedy,1988,100,5.62
Baby Boom,26712476,15000000,0.7808317333333333,Comedy,1987,110,6.357
Marty,3000000,343000,7.746355685131196,Drama,1955,90,7.462
The Muppets Take Manhattan,25500000,8000000,2.1875,Romance,1984,94,6.456
Point Blank,3200000,2500000,0.28,Crime,1967,92,7.012
Kiss Me Deadly,726000,410000,0.7707317073170732,Mystery,1955,106,7.1
Miss March,4591629,6000000,-0.2347285,Comedy,2009,89,5.5
Almost Christmas,42487325,17000000,1.499254411764706,Comedy,2016,111,5.926
Hatchet II,156190,2500000,-0.937524,Horror,2010,85,5.52
The Sugarland Express,12800000,3000000,3.2666666666666666,Crime,1974,110,6.551
Baby Geniuses,36450736,12000000,2.037561333333333,Science Fiction,1999,97,4.017
Miracle at St. Anna,9323833,45000000,-0.7928037111111111,Drama,2008,160,6.154
FearDotCom,18902015,40000000,-0.527449625,Horror,2002,101,3.703
SuperFly,20545116,16000000,0.28406975,Action,2018,107,6.761
Iron Sky: The Coming Race,400900,21000000,-0.9809095238095238,Action,2019,93,5.1
Mad Dog and Glory,11081586,19000000,-0.4167586315789474,Comedy,1993,96,6.0
Sisters,1000000,500000,1.0,Thriller,1972,93,6.7
Random Hearts,74608570,64000000,0.16575890625,Drama,1999,133,5.5
A Woman Is a Woman,100655,160000,-0.37090625,Comedy,1961,83,7.4
I Am Dragon,10495305,18000000,-0.4169275,Fantasy,2015,110,7.188
Of Gods and Men,41424067,4000000,9.35601675,Drama,2010,120,6.687
Medicine Man,45500797,40000000,0.137519925,Adventure,1992,106,5.974
Drop Dead Gorgeous,10571408,10000000,0.0571408,Comedy,1999,98,6.429
"One, Two, Three",4000000,3000000,0.3333333333333333,Comedy,1961,115,7.557
Kung Fu Yoga,254212245,65000000,2.9109576153846155,Comedy,2017,107,5.832
Purple Rain,68392977,7200000,8.499024583333334,Drama,1984,111,6.682
The Secret,65600000,3500000,17.742857142857144,Documentary,2006,90,6.683
Henry V,10176701,9000000,0.13074455555555556,War,1989,137,7.214
Spartan,8112712,19250000,-0.5785604155844156,Mystery,2004,102,6.159
Dolphin Tale 2,52424533,36000000,0.4562370277777778,Family,2014,107,6.942
"What's Up, Doc?",66000000,4000000,15.5,Comedy,1972,94,7.296
The Misfits,8200000,4000000,1.05,Western,1961,124,6.939
Shadow,91708374,44005000,1.0840444040449948,Action,2018,116,6.9
Mean Creek,603943,500000,0.207886,Crime,2004,90,6.848
Three… Extremes,516930,77532,5.667311561677759,Horror,2004,125,6.802
Ballistic: Ecks vs. Sever,19924033,70000000,-0.7153709571428571,Action,2002,91,4.352
The Lazarus Project,558000,9750000,-0.9427692307692308,Drama,2008,99,6.0
A Midsummer Night's Dream,16071990,11000000,0.46109,Fantasy,1999,116,6.4
Tucker: The Man and His Dream,19652638,23000000,-0.14553747826086957,Drama,1988,111,6.717
Black or White,21571189,9000000,1.3967987777777777,Drama,2014,121,6.835
City Island,7875862,6000000,0.31264366666666665,Drama,2009,104,6.954
Flesh + Blood,100000,6500000,-0.9846153846153847,Adventure,1985,126,6.549
Drop Dead Fred,13878334,6788000,1.0445394814378315,Comedy,1991,103,5.899
The Fox and the Child,29610210,13000000,1.2777084615384615,Adventure,2007,94,6.54
Bio-Dome,13400000,8500000,0.5764705882352941,Comedy,1996,95,4.538
The Bride,6945256,1500000,3.630170666666667,Mystery,2017,90,5.879
Hey Arnold! The Movie,15249308,3000000,4.083102666666667,Animation,2002,76,6.492
Parkland,1412181,10000000,-0.8587819,History,2013,94,6.216
Bad Day at Black Rock,3788000,1271000,1.9803304484657749,Thriller,1955,81,7.288
Red Rocket,2200000,1100000,1.0,Drama,2021,130,6.706
Little Black Book,22035509,35000000,-0.3704140285714286,Comedy,2004,111,5.328
Earth,109000000,15000000,6.266666666666667,Documentary,2007,90,7.581
Pietà,6616296,103000,63.23588349514563,Drama,2012,104,7.146
Crossing Over,1037335,25000000,-0.9585066,Crime,2009,113,6.126
Thank You for Your Service,9438370,20000000,-0.5280815,Drama,2017,109,6.512
New York Stories,10763469,15000000,-0.2824354,Comedy,1989,124,6.29
Final Cut,2046233,4300000,-0.5241318604651163,Horror,2022,110,7.0
Revolt,24416,4000000,-0.993896,Science Fiction,2017,87,5.482
Armageddon Time,6100000,15000000,-0.5933333333333334,Drama,2022,114,6.58
Men at Work,16247964,9000000,0.8053293333333333,Comedy,1990,98,5.669
The Gate,13539458,2500000,4.4157832,Horror,1987,86,5.998
Shaolin,33662874,29000000,0.16078875862068964,Action,2011,131,6.898
Amusement,170255,6000000,-0.9716241666666666,Horror,2008,85,5.642
Night of the Comet,14418922,3000000,3.8063073333333333,Comedy,1984,95,6.199
The House of Magic,64197205,34000000,0.8881530882352942,Family,2013,86,6.358
Gangs of Wasseypur - Part 1,4100000,1400000,1.9285714285714286,Action,2012,160,7.147
Godard Mon Amour,82264,12840746,-0.9935935186320172,Drama,2017,108,6.662
Animal Kingdom: Let's Go Ape,16294916,37580800,-0.5664031633174387,Adventure,2015,100,5.259
Rampart,972512,12000000,-0.9189573333333333,Crime,2011,108,5.489
Whitney Houston: I Wanna Dance with Somebody,41000000,50000000,-0.18,Music,2022,144,7.04
The Order,11560806,35000000,-0.6696912571428572,Drama,2003,102,5.673
The Last Five Years,292092,3500000,-0.9165451428571428,Comedy,2014,94,5.929
The Front Runner,3242235,25000000,-0.8703106,Drama,2018,113,5.893
Meet Me in St. Louis,7566000,1707561,3.430881239381785,Comedy,1944,113,7.005
"Hello, Dolly!",33208099,24000000,0.3836707916666667,Comedy,1969,149,6.943
My Dinner with Andre,5250000,475000,10.052631578947368,Comedy,1981,110,7.509
Piglet's Big Movie,62870546,46000000,0.366751,Animation,2003,75,6.676
The Beautician and the Beast,11486880,16000000,-0.28207,Comedy,1997,105,6.79
Don't Let Go,5300000,5000000,0.06,Science Fiction,2019,107,6.849
In Cold Blood,13007551,3500000,2.716443142857143,Crime,1967,134,7.5
Scarlet Street,2948500,1202000,1.4529950083194676,Drama,1945,103,7.612
Jumpin' Jack Flash,29844101,18000000,0.6580056111111111,Romance,1986,100,6.114
Fire Down Below,16228448,60000000,-0.7295258666666666,Action,1997,105,5.7
Capone,858281,20600000,-0.9583358737864077,Crime,2020,103,4.96
Gods and Monsters,6451628,10000000,-0.3548372,Drama,1998,105,6.952
Biker Boyz,23510601,24000000,-0.020391625,Action,2003,110,6.139
Vera Drake,13300000,11000000,0.20909090909090908,Drama,2004,125,7.153
Blood: The Last Vampire,5874530,30000000,-0.8041823333333333,Action,2009,91,5.7
Half Past Dead,19233280,25000000,-0.2306688,Crime,2002,98,5.179
Shadows and Fog,2735731,14000000,-0.8045906428571429,Comedy,1991,85,6.777
Pacific Heights,55000000,18000000,2.0555555555555554,Thriller,1990,102,6.238
Quick Change,15260154,15000000,0.0173436,Comedy,1990,89,6.68
Appleseed,1461989,10000000,-0.8538011,Animation,2004,101,6.744
"Silent Night, Deadly Night",2491460,1065000,1.3393990610328639,Thriller,1984,79,5.9
The Fury,24000000,5500000,3.3636363636363638,Horror,1978,118,6.284
Red Corner,22420000,48000000,-0.5329166666666667,Crime,1997,122,6.249
The Big Kahuna,3728888,7000000,-0.46730171428571426,Comedy,1999,90,6.76
Sgt. Bilko,37956793,39000000,-0.026748897435897437,Comedy,1996,90,5.815
The Humanity Bureau,17544173,6000000,1.9240288333333333,Action,2017,94,4.823
Lonely Hearts,2520000,18000000,-0.86,Drama,2006,108,6.022
Action Point,5059608,19000000,-0.7337048421052632,Comedy,2018,85,5.437
Convoy,45000000,12000000,2.75,Action,1978,110,6.275
White Squall,10300000,38000000,-0.7289473684210527,Drama,1996,129,6.291
The Nile Hilton Incident,81089,4250000,-0.9809202352941176,Thriller,2017,111,6.593
Nixon,13681765,44000000,-0.6890507954545455,Drama,1995,192,6.924
School for Scoundrels,17807569,20000000,-0.10962155,Comedy,2006,100,5.448
Disturbing Behavior,17514980,15000000,0.16766533333333333,Mystery,1998,84,5.7
The Great Raid,10166502,80000000,-0.872918725,Action,2005,132,6.579
The Devils,11000000,2000000,4.5,Drama,1971,114,7.432
I Am Love,12014663,3600000,2.3374063888888887,Drama,2009,120,6.837
Would I Lie to You? 3,40924982,25496629,0.605113444604775,Comedy,2012,120,5.506
Vanity Fair,16123851,23000000,-0.298963,Drama,2004,141,5.767
The Meddler,4267218,3200000,0.333505625,Comedy,2016,100,5.937
Dominion: Prequel to The Exorcist,251495,30000000,-0.9916168333333333,Horror,2005,117,5.326
When the Game Stands Tall,30127963,15000000,1.0085308666666666,Drama,2014,115,6.633
The Recall,1319566,5000000,-0.7360868,Science Fiction,2017,91,4.555
Center Stage,26385941,29000000,-0.09013996551724138,Drama,2000,115,6.932
Courageous,34522221,1000000,33.522221,Drama,2011,129,7.552
Norm of the North,17062499,7000000,1.4374998571428572,Adventure,2016,86,4.687
Fort Apache,3000000,2500000,0.2,Western,1948,125,7.03
Eye for an Eye,26877589,20000000,0.34387945,Thriller,1996,101,6.075
The Last Seduction,5842603,2500000,1.3370412,Thriller,1994,110,6.81
Shaft,12121618,4000000,2.0304045,Action,1971,100,6.486
Poison Ivy,1829804,3000000,-0.3900653333333333,Thriller,1992,92,5.424
Jennifer Eight,11390479,20000000,-0.43047605,Crime,1992,124,6.029
Masquerade,6667598,14000000,-0.523743,Drama,2022,142,6.89
Falcon Rising,11774,4500000,-0.9973835555555556,Adventure,2014,103,6.242
"Live Twice, Love Once",368430,1450000,-0.7459103448275862,Comedy,2019,101,7.497
Set It Off,41590886,9000000,3.6212095555555557,Crime,1996,123,7.196
For Love or Money,11146270,30000000,-0.6284576666666667,Comedy,1993,94,6.214
City by the Sea,22433915,40000000,-0.439152125,Crime,2002,108,5.743
Falling in Love,11129057,12000000,-0.07257858333333334,Drama,1984,102,6.628
The Ledge,610986,10000000,-0.9389014,Drama,2011,101,6.1
Stalingrad,68129518,30000000,1.2709839333333333,War,2013,131,6.53
Om Shanti Om,37707444,9100000,3.1436751648351646,Comedy,2007,162,7.069
King of California,1045786,10000000,-0.8954214,Comedy,2007,93,6.417
The Duel,4500,10000000,-0.99955,Western,2016,110,5.3
The Women,50007546,16000000,2.125471625,Comedy,2008,114,5.043
The Last Detail,10000000,2300000,3.347826086956522,Drama,1973,104,7.021
Nothing but Trouble,8479793,40000000,-0.788005175,Comedy,1991,94,5.231
The Chase,8009329,26000000,-0.6919488846153846,Adventure,1994,89,5.721
Things We Lost in the Fire,2849142,16000000,-0.821928625,Drama,2007,113,6.6
Fierce Creatures,9381260,25000000,-0.6247496,Comedy,1997,93,6.135
One Night at McCool's,13500000,18000000,-0.25,Comedy,2001,93,5.815
The Message,15000000,10000000,0.5,Adventure,1976,178,7.26
Primal,146863,9000000,-0.9836818888888889,Action,2019,97,5.638
The Den,410129,500000,-0.179742,Horror,2013,76,6.0
She Wore a Yellow Ribbon,5400000,1600000,2.375,Western,1949,103,6.947
Heaven's Gate,3484331,44000000,-0.9208106590909091,Drama,1980,217,6.74
Kinky Boots,9950133,10000000,-0.0049867,Comedy,2005,107,6.679
Lone Wolf McQuade,12232628,5000000,1.4465256,Action,1983,107,6.51
The Cooler,10400000,4000000,1.6,Romance,2003,101,6.689
Amityville II: The Possession,12534817,5000000,1.5069634,Horror,1982,104,5.669
Strictly Ballroom,33946224,3000000,10.315408,Comedy,1992,94,6.576
Rookie of the Year,56500758,31000000,0.8226050967741936,Family,1993,103,6.136
Private Parts,41230799,28000000,0.4725285357142857,Comedy,1997,109,6.447
Recess: School's Out,44460850,10000000,3.446085,Science Fiction,2001,82,6.565
Rock the Kasbah,3020664,15000000,-0.7986224,Comedy,2015,100,5.383
Battle of the Year,16549477,20000000,-0.17252615,Music,2013,110,6.9
30 Days Max,11208529,13000000,-0.13780546153846154,Comedy,2020,87,5.451
Zorba the Greek,9000000,783000,10.494252873563218,Drama,1964,142,7.5
Flee,712229,3400000,-0.7905208823529412,Documentary,2021,89,7.823
The Alamo,7900000,12000000,-0.3416666666666667,Western,1960,167,7.177
The Astronaut Farmer,11130889,13000000,-0.14377776923076924,Science Fiction,2007,104,6.185
Crazy/Beautiful,16929123,13000000,0.3022402307692308,Drama,2001,99,6.594
Metro,4463059,13000000,-0.6566877692307692,Action,2013,130,6.761
Raising Cain,37170057,12000000,2.09750475,Thriller,1992,92,6.039
"Paul, Apostle of Christ",22525668,5000000,3.5051336,Drama,2018,108,7.5
Knockaround Guys,12000000,15000000,-0.2,Crime,2001,92,5.95
My Man Godfrey,684200,575375,0.18913751900934173,Comedy,1936,95,7.554
Lone Star,13269963,5000000,1.6539926,Drama,1996,135,6.969
A Boy and His Dog,6900000,400000,16.25,Drama,1975,90,6.27
Salvador,1500000,4500000,-0.6666666666666666,Drama,1986,123,7.0
Your Sister's Sister,3242802,125000,24.942416,Comedy,2011,90,6.475
In the Bedroom,44763181,1700000,25.33128294117647,Drama,2001,130,6.925
Psycho Goreman,95384,1700000,-0.9438917647058823,Science Fiction,2020,95,5.954
Phantasm II,7282851,3000000,1.427617,Action,1988,97,6.289
Van Wilder: Freshman Year,20543,6000000,-0.9965761666666667,Comedy,2009,100,5.4
Freedomland,14655628,37665000,-0.6108953139519447,Drama,2006,113,5.169
Human Traffic,4000000,600000,5.666666666666667,Comedy,1999,99,6.747
Zindagi Na Milegi Dobara,160000000,7700000,19.77922077922078,Drama,2011,154,7.515
My Name Is Bruce,173066,1500000,-0.8846226666666667,Comedy,2007,86,5.818
17 Girls,201607,4141459,-0.9513198126553951,Drama,2011,87,5.454
The Children's Hour,3000000,3600000,-0.16666666666666666,Drama,1961,108,7.7
Repo! The Genetic Opera,188126,8500000,-0.9778675294117647,Horror,2008,98,6.2
The Public Enemy,557000,151000,2.6887417218543046,Crime,1931,83,7.25
From Dusk Till Dawn 3: The Hangman's Daughter,9617,5000000,-0.9980766,Western,1999,94,4.87
Hatching,490000,3896000,-0.8742299794661191,Horror,2022,91,6.235
The Ramen Girl,179590,3200000,-0.943878125,Romance,2008,102,6.438
Interiors,10400000,10000000,0.04,Drama,1978,93,6.811
Knock Off,44000000,35000000,0.2571428571428571,Action,1998,91,5.226
Killing Zoe,418961,1500000,-0.7206926666666666,Action,1993,96,6.219
Sukiyaki Western Django,2725258,3800000,-0.28282684210526315,Adventure,2007,121,6.29
Yu-Gi-Oh! The Movie,29170410,20000000,0.4585205,Animation,2004,90,6.05
A Guy Thing,17432163,20000000,-0.12839185,Comedy,2003,101,5.937
Judgment Night,12136938,21000000,-0.42205057142857144,Action,1993,109,6.533
Mad City,10541523,50000000,-0.78916954,Action,1997,114,6.207
The Requin,130493,8500000,-0.9846478823529412,Thriller,2022,89,4.997
Intolerance: Love's Struggle Throughout the Ages,1750000,385907,3.534771330916516,Drama,1916,197,7.118
The Ten Commandments: The Movie,37070177,39307171,-0.056910582549937264,Drama,2016,120,7.214
Paris,23550000,19000000,0.2394736842105263,Drama,2008,130,6.485
Henry's Crime,204940,12000000,-0.9829216666666667,Crime,2010,108,5.7
Fortress,52169,20000000,-0.99739155,Action,2021,100,5.958
A Coffee in Berlin,2750275,300000,8.167583333333333,Drama,2012,88,7.148
Rebound,16809014,45000000,-0.6264663555555555,Comedy,2005,103,5.518
The Maiden Heist,96008,20000000,-0.9951996,Comedy,2009,91,5.631
Teaching Mrs. Tingle,8946237,13000000,-0.3118279230769231,Comedy,1999,96,5.4
Accidental Love,24487,26000000,-0.9990581923076923,Romance,2015,100,4.231
The Outlaws,52946454,5883687,7.998856329373061,Action,2017,121,7.804
Barfly,3221568,3000000,0.073856,Comedy,1987,100,6.9
